City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tungor,53.3808,142.9564,-1.58,72,84,9.62,RU,1681259031
84,torbay,47.6666,-52.7314,3.43,52,75,4.63,CA,1681258975
85,soyo,-6.1349,12.3689,27.0,84,100,1.99,AO,1681259032
86,hillsborough,37.5741,-122.3794,19.29,60,40,13.89,US,1681258486
87,upernavik,72.7868,-56.1549,-14.62,94,26,3.47,GL,1681259034
88,vila,42.0304,-8.1588,6.5,92,83,3.11,PT,1681259035
89,waipawa,-41.4122,175.5153,17.83,58,29,4.51,NZ,1681259036
90,zhangjiakou,40.81,114.8794,5.96,18,1,0.64,CN,1681259036
91,longyearbyen,78.2186,15.6401,-2.09,93,75,2.06,SJ,1681259038
92,medveda,56.5081,92.4078,-4.9,76,100,4.14,RU,1681259038
93,west bay,19.3667,-81.4167,27.82,69,20,1.54,KY,1681259039
94,westport,41.1415,-73.3579,21.75,30,100,4.47,US,1681259040
95,puerto ayora,-0.7393,-90.3518,27.53,88,68,1.79,EC,1681259009
96,lampang,18.3333,99.5,28.25,78,3,0.0,TH,1681259041
97,rorvik,64.8621,11.2373,8.06,57,88,5.66,NO,1681259042
98,punta arenas,-53.15,-70.9167,4.06,56,40,6.69,CL,1681259044
99,kungurtug,50.5994,97.5228,-4.08,88,85,0.63,RU,1681259044
100,ancud,-41.8697,-73.8203,12.41,93,96,0.71,CL,1681259045
101,stornoway,58.2093,-6.3865,7.98,76,75,10.29,GB,1681259046
102,namibe,-15.1961,12.1522,23.46,63,2,3.01,AO,1681259047
103,klaksvik,62.2266,-6.589,3.51,82,70,1.59,FO,1681259048
104,amapa,1.0,-52.0,22.7,98,100,0.85,BR,1681259050
105,batagay-alyta,67.8006,130.4114,-18.41,87,69,1.38,RU,1681259051
106,san pedro,14.35,121.0167,27.57,79,75,0.51,PH,1681258459
107,altamira,-3.2033,-52.2064,22.99,97,35,1.0,BR,1681259052
108,sur,22.5667,59.5289,28.0,50,100,2.47,OM,1681258575
109,solnechnyy,50.7214,136.6319,-1.99,89,100,5.53,RU,1681259053
110,constitucion,-35.3333,-72.4167,13.39,95,95,3.47,CL,1681259054
111,barrow,71.2906,-156.7887,-20.99,77,40,4.63,US,1681258876
112,port hardy,50.6996,-127.4199,7.1,61,75,2.57,CA,1681259055
113,guerrero negro,27.9769,-114.0611,17.73,67,0,9.09,MX,1681259056
114,marsa matruh,31.3525,27.2453,14.41,69,95,10.19,EG,1681259056
115,san policarpo,12.1791,125.5072,26.4,77,100,5.68,PH,1681259058
116,olafsvik,64.8945,-23.7142,4.54,85,100,3.79,IS,1681259058
117,cape town,-33.9258,18.4232,16.32,67,0,2.57,ZA,1681258917
118,sao filipe,14.8961,-24.4956,21.93,73,96,4.13,CV,1681259059
119,grand gaube,-20.0064,57.6608,26.32,79,71,7.4,MU,1681259060
120,la rioja,42.25,-2.5,6.88,49,81,3.41,ES,1681259061
121,hamilton,39.1834,-84.5333,21.35,40,0,3.09,US,1681259061
122,pangody,65.85,74.4859,-25.5,100,82,3.17,RU,1681259062
123,saint-pierre,-21.3393,55.4781,23.82,73,0,3.6,RE,1681259063
124,matay,28.419,30.7792,15.11,49,10,4.53,EG,1681259063
125,polson,47.6936,-114.1632,7.34,57,100,6.12,US,1681259038
126,tasiilaq,65.6145,-37.6368,1.09,96,100,0.94,GL,1681259064
127,ahipara,-35.1667,173.1667,19.49,85,89,4.85,NZ,1681259065
128,mgandu,-5.95,34.1333,15.54,94,63,1.86,TZ,1681259065
129,geraldton,-28.7667,114.6,17.23,82,0,2.06,AU,1681259066
130,goundam,16.4145,-3.6708,29.38,22,93,7.06,ML,1681259066
